breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,13.0,-39.0,-14.5,0.0005184626215546217,3.505937287506836e-06
pbli,90,15.0,-39.0,-14.5,0.0005201083816125007,4.1030964055257e-06
pbli,90,17.0,-39.0,-14.5,0.0005100685786676869,4.13459698538902e-06
pbli,90,19.0,-39.0,-14.5,0.0005072599170231753,3.98676621957094e-06
pbli,90,21.0,-39.0,-14.5,0.0005029674715303283,4.26961140573975e-06
pbli,90,23.0,-39.0,-14.5,0.0004935372461634669,3.962841938501262e-06
pbli,90,25.0,-39.0,-14.5,0.00047572624003474397,3.858559234493668e-06
pbli,90,27.0,-39.0,-14.5,0.00046357245087784736,3.1648431565467242e-06
pbli,90,29.0,-39.0,-14.5,0.00045823454440571264,4.19610974899395e-06
pbli,90,31.0,-39.0,-14.5,0.00043546095951500866,3.559747210876748e-06
pbli,90,33.0,-39.0,-14.5,0.00041237145790416334,3.2246371898850606e-06
pbli,90,35.0,-39.0,-14.5,0.000391978402222717,3.3769681081738086e-06
pbli,90,37.0,-39.0,-14.5,0.00036761518169191174,3.618832105312942e-06
pbli,90,39.0,-39.0,-14.5,0.0003275488768129584,2.6560493641601887e-06
pbli,90,-39.0,-37.0,-14.5,0.00036063215540821787,3.1112910783882183e-06
pbli,90,-37.0,-37.0,-14.5,0.0004102398148296951,3.4648229868986143e-06
pbli,90,-35.0,-37.0,-14.5,0.0004356030107287112,3.3087010005267105e-06
pbli,90,-33.0,-37.0,-14.5,0.00047942336325871226,3.845842054480233e-06
pbli,90,-31.0,-37.0,-14.5,0.0005003701418368995,3.960328379714303e-06
pbli,90,-29.0,-37.0,-14.5,0.000522637030701651,4.317183479406607e-06
pbli,90,-27.0,-37.0,-14.5,0.0005315626296137401,4.008416580057596e-06
pbli,90,-25.0,-37.0,-14.5,0.0005496759025958394,3.771621040252195e-06
pbli,90,-23.0,-37.0,-14.5,0.0005509550495446568,3.326462362512556e-06
pbli,90,-21.0,-37.0,-14.5,0.000568968724513202,4.17354826244137e-06
pbli,90,-19.0,-37.0,-14.5,0.0005641639546575535,4.2755184503535894e-06
pbli,90,-17.0,-37.0,-14.5,0.0005794931239837094,3.568604491825872e-06
pbli,90,-15.0,-37.0,-14.5,0.0005810634112684195,4.3357809933350736e-06
pbli,90,-13.0,-37.0,-14.5,0.0005851493027226825,3.4797318518125248e-06
pbli,90,-11.0,-37.0,-14.5,0.0005884917219719811,3.998039064964808e-06
pbli,90,-9.0,-37.0,-14.5,0.0005981957200215369,4.446549498535827e-06
pbli,90,-7.0,-37.0,-14.5,0.0006054510620982702,4.561581641907508e-06
pbli,90,-5.0,-37.0,-14.5,0.0006075394685403584,4.003294195146451e-06
pbli,90,-3.0,-37.0,-14.5,0.0006031885509675995,4.455315055039279e-06
pbli,90,-1.0,-37.0,-14.5,0.0006040877134970548,4.585576711112659e-06
pbli,90,1.0,-37.0,-14.5,0.0005948719619445605,3.712340456583371e-06
pbli,90,3.0,-37.0,-14.5,0.0006054152051377952,4.595078459582031e-06
pbli,90,5.0,-37.0,-14.5,0.000599108472157929,4.384091285702862e-06
pbli,90,7.0,-37.0,-14.5,0.0005972016424273977,4.262301981608154e-06
pbli,90,9.0,-37.0,-14.5,0.00059849423309781,4.718510111959625e-06
pbli,90,11.0,-37.0,-14.5,0.0005935839262433387,3.7147314627883164e-06
pbli,90,13.0,-37.0,-14.5,0.0005845411785895926,3.7357824121723564e-06
pbli,90,15.0,-37.0,-14.5,0.0005870628382580783,4.4471382608570555e-06
pbli,90,17.0,-37.0,-14.5,0.0005713442133778224,4.408213219764824e-06
pbli,90,19.0,-37.0,-14.5,0.0005670231315938575,4.241472741241743e-06
pbli,90,21.0,-37.0,-14.5,0.0005707298558872312,4.5130607577647715e-06
pbli,90,23.0,-37.0,-14.5,0.0005529598263591817,4.1301658567632534e-06
pbli,90,25.0,-37.0,-14.5,0.0005442842062160593,4.451791727057258e-06
pbli,90,27.0,-37.0,-14.5,0.0005358841388123305,3.7582317813440913e-06
pbli,90,29.0,-37.0,-14.5,0.0005207762827595866,3.7651056605272907e-06
pbli,90,31.0,-37.0,-14.5,0.000499583250588249,3.696653881903019e-06
pbli,90,33.0,-37.0,-14.5,0.00047709759790050716,3.731347015901362e-06
pbli,90,35.0,-37.0,-14.5,0.00044248799180179134,3.3252669679654086e-06
pbli,90,37.0,-37.0,-14.5,0.00040907106781073966,3.1519454748870517e-06
pbli,90,39.0,-37.0,-14.5,0.00036520248929754326,2.903259831156949e-06
pbli,90,-39.0,-35.0,-14.5,0.000390574293596433,3.23533391338306e-06
pbli,90,-37.0,-35.0,-14.5,0.0004416412541125192,4.272341645666485e-06
pbli,90,-35.0,-35.0,-14.5,0.0004838370393602881,3.7181372376787477e-06
pbli,90,-33.0,-35.0,-14.5,0.0005196094075390483,3.845199373239457e-06
pbli,90,-31.0,-35.0,-14.5,0.0005421595834373389,3.7066465391232036e-06
pbli,90,-29.0,-35.0,-14.5,0.0005623639671453723,3.301727089125772e-06
pbli,90,-27.0,-35.0,-14.5,0.0005822184069388175,4.181400665612393e-06
pbli,90,-25.0,-35.0,-14.5,0.0005926934598749483,3.421887728413928e-06
pbli,90,-23.0,-35.0,-14.5,0.0006079054402316563,3.7761109042584877e-06
pbli,90,-21.0,-35.0,-14.5,0.0006204106475691186,3.965139826678162e-06
pbli,90,-19.0,-35.0,-14.5,0.0006204370427519819,4.402787540479389e-06
pbli,90,-17.0,-35.0,-14.5,0.000630989677339554,4.18236346908384e-06
pbli,90,-15.0,-35.0,-14.5,0.00064427508301101,4.409668369606789e-06
pbli,90,-13.0,-35.0,-14.5,0.000641683952292052,4.32692488950241e-06
pbli,90,-11.0,-35.0,-14.5,0.000641053020207759,4.501326540136277e-06
pbli,90,-9.0,-35.0,-14.5,0.0006489561219106433,3.887525686022918e-06
pbli,90,-7.0,-35.0,-14.5,0.0006551439797438618,4.262943240274687e-06
pbli,90,-5.0,-35.0,-14.5,0.0006561054375381318,3.7685891199369208e-06
pbli,90,-3.0,-35.0,-14.5,0.0006631517830936273,3.896650992228573e-06
pbli,90,-1.0,-35.0,-14.5,0.0006613530137383124,4.31735330266066e-06
pbli,90,1.0,-35.0,-14.5,0.000657475489220958,5.0390548665861825e-06
pbli,90,3.0,-35.0,-14.5,0.000664640925955548,4.645367718411638e-06
pbli,90,5.0,-35.0,-14.5,0.0006576658446679736,3.9750360886871865e-06
pbli,90,7.0,-35.0,-14.5,0.0006561481286677586,4.054454318673758e-06
pbli,90,9.0,-35.0,-14.5,0.0006550561315841383,5.116961540077218e-06
pbli,90,11.0,-35.0,-14.5,0.000659286227993971,4.696944663050304e-06
pbli,90,13.0,-35.0,-14.5,0.0006470913857375267,4.556086853492279e-06
pbli,90,15.0,-35.0,-14.5,0.0006352420003666202,4.339457379985213e-06
pbli,90,17.0,-35.0,-14.5,0.0006359332129513795,3.721953891535048e-06
pbli,90,19.0,-35.0,-14.5,0.0006329775856737876,4.080258036683803e-06
pbli,90,21.0,-35.0,-14.5,0.0006162587910862844,4.019428908988378e-06
pbli,90,23.0,-35.0,-14.5,0.0006087238299211923,3.890413081593706e-06
pbli,90,25.0,-35.0,-14.5,0.0005866231753525126,4.278668734853988e-06
pbli,90,27.0,-35.0,-14.5,0.000587313530264017,3.6691901782622665e-06
pbli,90,29.0,-35.0,-14.5,0.000562180302390238,3.5450355459617356e-06
pbli,90,31.0,-35.0,-14.5,0.0005496215573205195,3.605397417109572e-06
pbli,90,33.0,-35.0,-14.5,0.0005148206279098836,3.555309396478623e-06
pbli,90,35.0,-35.0,-14.5,0.00048265063931916027,3.286513220090065e-06
pbli,90,37.0,-35.0,-14.5,0.00043830494027466036,3.875253385667304e-06
pbli,90,39.0,-35.0,-14.5,0.00039854389529172407,3.353046331365631e-06
pbli,90,-39.0,-33.0,-14.5,0.00041846513836205085,3.4637704243252997e-06
pbli,90,-37.0,-33.0,-14.5,0.0004694672192042729,3.2432384822233136e-06
pbli,90,-35.0,-33.0,-14.5,0.000516908232209297,4.202429195268318e-06
pbli,90,-33.0,-33.0,-14.5,0.0005477930263933112,4.371716711451036e-06
pbli,90,-31.0,-33.0,-14.5,0.0005749325592181956,3.9065856015162824e-06
pbli,90,-29.0,-33.0,-14.5,0.0005969113691988836,4.019577181578196e-06
pbli,90,-27.0,-33.0,-14.5,0.0006173102956506739,4.360072409281507e-06
pbli,90,-25.0,-33.0,-14.5,0.0006312828615682543,4.165338569397622e-06
pbli,90,-23.0,-33.0,-14.5,0.0006475388663933474,4.754142209337246e-06
pbli,90,-21.0,-33.0,-14.5,0.000655810958437822,4.300621410578422e-06
pbli,90,-19.0,-33.0,-14.5,0.0006699558039421509,3.827901971085834e-06
pbli,90,-17.0,-33.0,-14.5,0.0006800438916937966,4.401490111594615e-06
